episode,episode_steps,highest_score,max_tile
1,128,348.0,32.0
2,719,1156.0,128.0
3,386,512.0,64.0
4,1054,1432.0,128.0
5,571,760.0,64.0
6,807,1656.0,128.0
7,565,1364.0,128.0
8,607,880.0,64.0
9,522,1964.0,128.0
10,402,1388.0,128.0
11,484,768.0,64.0
12,561,1592.0,128.0
13,259,612.0,64.0
14,648,2560.0,256.0
15,521,1292.0,128.0
16,602,2280.0,256.0
17,559,940.0,128.0
18,619,2708.0,256.0
19,518,2668.0,256.0
20,175,1280.0,128.0
21,205,1280.0,128.0
22,417,2836.0,256.0
23,151,1568.0,128.0
24,202,1604.0,128.0
25,163,1416.0,128.0
26,297,2428.0,256.0
27,131,1196.0,128.0
28,161,1048.0,128.0
29,231,1476.0,128.0
30,158,1296.0,128.0
31,315,2284.0,256.0
32,301,1232.0,128.0
33,391,2752.0,256.0
34,255,2724.0,256.0
35,360,2668.0,256.0
36,365,3004.0,256.0
37,237,1572.0,128.0
38,358,3084.0,256.0
39,183,1764.0,128.0
40,157,980.0,64.0
41,363,2428.0,256.0
42,180,1276.0,128.0
43,166,1388.0,128.0
44,289,2332.0,256.0
45,215,1428.0,128.0
46,308,2680.0,256.0
47,208,1696.0,128.0
48,293,3024.0,256.0
49,319,2168.0,256.0
50,544,3008.0,256.0
51,344,2692.0,256.0
52,273,2516.0,128.0
53,229,2156.0,256.0
54,352,3020.0,256.0
55,426,5196.0,512.0
56,219,1200.0,64.0
57,473,3140.0,256.0
58,297,2548.0,256.0
59,235,3008.0,256.0
60,358,3076.0,256.0
61,326,3260.0,256.0
62,321,3032.0,256.0
63,180,1296.0,128.0
64,282,2084.0,256.0
65,201,1508.0,128.0
66,323,2364.0,256.0
67,210,2284.0,256.0
68,144,1288.0,128.0
69,154,1252.0,128.0
70,173,1500.0,128.0
71,181,1496.0,128.0
72,110,680.0,64.0
73,365,2652.0,256.0
74,244,2688.0,256.0
75,99,816.0,64.0
76,263,2404.0,256.0
77,371,2752.0,256.0
78,408,5252.0,512.0
79,172,1676.0,128.0
80,551,6196.0,512.0
81,375,3172.0,256.0
82,501,5312.0,512.0
83,156,1372.0,128.0
84,273,3056.0,256.0
85,471,2832.0,256.0
86,522,5516.0,512.0
87,246,2852.0,256.0
88,316,1628.0,128.0
89,282,2892.0,256.0
90,267,3212.0,256.0
91,341,3216.0,256.0
92,141,1288.0,128.0
93,109,700.0,64.0
94,252,3008.0,256.0
95,416,5528.0,512.0
96,209,2524.0,256.0
97,183,1464.0,128.0
98,260,2916.0,256.0
99,286,3076.0,256.0
100,273,3004.0,256.0
101,295,3284.0,256.0
102,155,1396.0,128.0
103,306,3068.0,256.0
104,186,1452.0,128.0
105,352,3016.0,256.0
106,187,1600.0,128.0
107,344,3124.0,256.0
108,298,2080.0,128.0
109,388,4600.0,512.0
110,395,3408.0,256.0
111,388,3100.0,256.0
112,287,2408.0,256.0
113,416,4676.0,512.0
114,305,2488.0,256.0
115,354,1336.0,128.0
116,513,5268.0,512.0
117,297,2944.0,256.0
118,199,2000.0,128.0
119,193,1340.0,128.0
120,379,3008.0,256.0
121,214,2640.0,256.0
122,369,3100.0,256.0
123,277,2252.0,256.0
124,300,4564.0,512.0
125,194,1672.0,128.0
126,142,1256.0,128.0
127,470,2796.0,256.0
128,183,1896.0,128.0
129,331,3080.0,256.0
130,255,1996.0,128.0
131,312,3104.0,256.0
132,280,3156.0,256.0
133,280,2568.0,256.0
134,508,5228.0,512.0
135,311,3040.0,256.0
136,175,1312.0,128.0
137,176,1360.0,128.0
138,250,2780.0,256.0
139,306,3012.0,256.0
140,599,6916.0,512.0
141,246,2616.0,256.0
142,229,2952.0,256.0
143,414,5160.0,512.0
144,203,1904.0,256.0
145,349,3708.0,256.0
146,649,6604.0,512.0
147,380,2440.0,256.0
148,188,1504.0,128.0
149,180,1264.0,128.0
150,368,4788.0,512.0
151,398,3572.0,256.0
152,428,5880.0,512.0
153,254,2748.0,256.0
154,255,2692.0,256.0
155,296,2992.0,256.0
